CODE;NOM;X;Y;GOUV;CAP;AGG;NIV;DTUN;DPORT;DCAP;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS3216;Metlaoui ;107,9171;489,605;TS321;0;;(3) 20 à 50000;330,4;173,1;58,2;38938;37099;8805;1335;2236;37894;1113,4;0,206
TS3217;Mdhila ;133,5373;480,4256;TS321;0;;(2) 10 à 20 000;326,4;145,9;46,3;14841;12383;3078;321;1138;13802;680,4;0,118
TS3218;EL Guetar ;163,9008;486,7567;TS321;0;;(2) 10 à 20 000;308,6;119,3;34,3;19942;13554;4549;819;1022;18658;910;0,144
TS3219;Belkhir ;199,7116;495,1573;TS321;0;;(1) moins de 10 000;289,5;92,3;50,2;15159;0;3068;333;855;14242;839,5;0,073
TS321A;Sned ;178,0919;517,0764;TS321;0;;(1) moins de 10 000;275,2;122,9;22,4;34524;8931;7139;710;1515;36315;827,1;0,104
TS3220;Tozeur  ;79,008;447,0373;TS322;1;;(3) 20 à 50000;381,7;195,2;1,0;39862;32400;9524;2040;2949;42560;840;0,335
TS3221;Degach ;96,0372;462,2782;TS322;0;;(1) moins de 10 000;360,0;179,3;23,9;26596;13685;6140;1055;905;27401;998;0,200
TS3222;Tameghza ;57,9458;489,8325;TS322;0;;(1) moins de 10 000;358,0;221,5;48,7;6362;2169;1474;318;223;6947;854,9;0,112
TS3223;Nefta ;57,979;439,9182;TS322;0;;(3) 20 à 50000;398,9;216,2;23,2;20544;20308;4989;1036;1107;21375;1500;0,269
TS3224;Hazoua ;36,8996;430,765;TS322;0;;(1) moins de 10 000;418,2;237,5;46,1;4162;0;699;326;177;4624;1400;0,180
TS3230;Kebili Sud  ;169,0484;412,1638;TS323;1;Kebili;(2) 10 à 20 000;377,7;109,5;1,0;28040;12780;5854;1355;3829;29057;865,1;0,294
TS3231;Kebeli Nord ;174,2041;426,8772;TS323;0;Kebili;(2) 10 à 20 000;362,1;101,2;16,6;29429;12041;6929;1951;1071;30300;1024;0,311
TS3232;Souk El Ahed ;151,9584;449,4243;TS323;0;;(2) 10 à 20 000;347,7;122,4;42,0;26732;18285;5933;493;835;26320;2682,7;0,197
TS3233;Douz Nord ;184,3857;380,9769;TS323;0;Douz;(3) 20 à 50000;404,0;109,6;35,8;25534;25237;5007;1142;1376;26888;4105,7;0,260
TS3234;Douz Sud ;206,761;335,4892;TS323;0;Douz;(3) 20 à 50000;444,5;128,6;86,4;17187;8860;3053;709;569;18453;4105,7;0,215
TS3235;Faouar ;108,4685;363,6441;TS323;0;;(1) moins de 10 000;443,5;183,9;78,6;16296;0;3528;643;329;18998;9671,3;0,178
